


group_span_2(m), Y
0.000180562, -0.00112224
0.000180787, 0.00491471
0.000181011, -0.00221227
0.000181236, 0.00114478
0.000181461, 0.000165348
0.000181685, -0.0105338
0.00018191, 0.00388813
0.000182135, 0.00888149
0.00018236, 0.00065052
0.000182584, -0.010847
0.000182809, -0.0142134
0.000183034, 0.00538878
0.000183258, 0.0347178
0.000183483, -0.00286129
0.000183708, -0.0322586
0.000183933, -0.0198696
0.000184157, 0.0202103
0.000184382, 0.0400088
0.000184607, -0.0157286
0.000184831, -0.0449197
0.000185056, -0.0134504
0.000185281, 0.0194047
0.000185506, 0.0421779
0.00018573, 0.00118657
0.000185955, -0.023913
0.00018618, -0.0437161
0.000186404, 0.0285366
0.000186629, 0.0295403
0.000186854, 0.037411
0.000187079, -0.0426778
0.000187303, -0.040282
0.000187528, 0.0124751
0.000187753, 0.0321551
0.000187978, 0.0354517
0.000188202, -0.0312068
0.000188427, -0.028268
0.000188652, -0.0253608
0.000188876, 0.0370971
0.000189101, 0.0276509
0.000189326, 0.00587394
0.000189551, -0.0408496
0.000189775, -0.0254979
0.00019, 0.00967322



group_span_2(m), Y
0.00017, 0.400247
0.000170225, -0.250459
0.000170449, 0.0294019
0.000170674, 0.181361
0.000170899, -0.403397
0.000171124, 0.410415
0.000171348, -0.379931
0.000171573, 0.121641
0.000171798, 0.122661
0.000172022, -0.326712
0.000172247, 0.466267
0.000172472, -0.363401
0.000172697, 0.248193
0.000172921, 0.0692241
0.000173146, -0.277167
0.000173371, 0.428899
0.000173596, -0.451184
0.00017382, 0.27835
0.000174045, -0.0244049
0.00017427, -0.243321
0.000174494, 0.393821
0.000174719, -0.493946
0.000174944, 0.333919
0.000175169, -0.0848368
0.000175393, -0.166996
0.000175618, 0.386002
0.000175843, -0.476421
0.000176067, 0.394987
0.000176292, -0.168645
0.000176517, -0.0900375
0.000176742, 0.335842
0.000176966, -0.46152
0.000177191, 0.424535
0.000177416, -0.24051
0.00017764, -0.0124857
0.000177865, 0.270881
0.00017809, -0.421685
0.000178315, 0.4334
0.000178539, -0.301509
0.000178764, 0.0679521
0.000178989, 0.183858
0.000179213, -0.374138
0.000179438, 0.426181
0.000179663, -0.35035
0.000179888, 0.155154
0.000180112, 0.0936849
0.000180337, -0.301823
0.000180562, 0.416296
0.000180787, -0.391347
0.000181011, 0.240626
0.000181236, -0.00131938
0.000181461, -0.221463
0.000181685, 0.384025
0.00018191, -0.417604
0.000182135, 0.314495
0.00018236, -0.0944609
0.000182584, -0.128213
0.000182809, 0.342434
0.000183034, -0.424094
0.000183258, 0.361599
0.000183483, -0.194643
0.000183708, -0.0443826
0.000183933, 0.285727
0.000184157, -0.429286
0.000184382, 0.405586
0.000184607, -0.300734
0.000184831, 0.0331087
0.000185056, 0.212306
0.000185281, -0.386783
0.000185506, 0.454473
0.00018573, -0.334636
0.000185955, 0.121232
0.00018618, 0.124267
0.000186404, -0.356158
0.000186629, 0.454924
0.000186854, -0.390698
0.000187079, 0.219862
0.000187303, 0.0411675
0.000187528, -0.300658
0.000187753, 0.434144
0.000187978, -0.430131
0.000188202, 0.283843
0.000188427, -0.0258221
0.000188652, -0.209144
0.000188876, 0.414952
0.000189101, -0.439417
0.000189326, 0.354034
0.000189551, -0.122271
0.000189775, -0.149979
0.00019, 0.306994



group_span_2(m), Y
0.00017, 0.314494
0.000170225, -0.151831
0.000170449, -0.0432915
0.000170674, 0.209696
0.000170899, -0.359512
0.000171124, 0.365609
0.000171348, -0.29751
0.000171573, 0.0535282
0.000171798, 0.153894
0.000172022, -0.324186
0.000172247, 0.426197
0.000172472, -0.32508
0.000172697, 0.156142
0.000172921, 0.0851976
0.000173146, -0.295137
0.000173371, 0.414297
0.000173596, -0.383467
0.00017382, 0.231303
0.000174045, 0.00728125
0.00017427, -0.253505
0.000174494, 0.399429
0.000174719, -0.431642
0.000174944, 0.317424
0.000175169, -0.0636676
0.000175393, -0.184556
0.000175618, 0.365437
0.000175843, -0.461374
0.000176067, 0.374481
0.000176292, -0.165044
0.000176517, -0.0932574
0.000176742, 0.331718
0.000176966, -0.450002
0.000177191, 0.426837
0.000177416, -0.249353
0.00017764, -0.00743664
0.000177865, 0.268712
0.00017809, -0.423264
0.000178315, 0.459245
0.000178539, -0.324807
0.000178764, 0.0821192
0.000178989, 0.182141
0.000179213, -0.399104
0.000179438, 0.464463
0.000179663, -0.391208
0.000179888, 0.166662
0.000180112, 0.106057
0.000180337, -0.349209
0.000180562, 0.472637
0.000180787, -0.423819
0.000181011, 0.243147
