["port 3","RIGHT"]
["port 5","RIGHT"]
["port 1","LEFT"]
["port 4","RIGHT"]
["port 2","LEFT"]
["port 6","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.8820628765286244e+14 3.6726158266173639e-09 -2.5512953826041163e-01
1.8821811559954753e+14 3.4243512288625290e-09 -6.6400155712176323e-01
1.8822994503299603e+14 4.2586459332566484e-09 -9.7804494042122037e-01
1.8824177595348838e+14 5.6259759197785750e-09 -1.0803250790810943e+00
1.8825360836130494e+14 7.0781906214633543e-09 -1.0591273402892138e+00
1.8826544225672619e+14 8.3993870471003016e-09 -9.7756984212311904e-01
1.8827727764003269e+14 9.4744105511403565e-09 -8.6524033963183755e-01
1.8828911451150512e+14 1.0233194045370834e-08 -7.3664225558071739e-01
1.8830095287142409e+14 1.0633176523235518e-08 -5.9989490747526908e-01
1.8831279272007044e+14 1.0653700640878258e-08 -4.6044960877079094e-01
1.8832463405772497e+14 1.0294286478253871e-08 -3.2295981984792016e-01
1.8833647688466859e+14 9.5744573565561504e-09 -1.9265313535302026e-01
1.8834832120118234e+14 8.5349745275401084e-09 -7.7055848967832269e-02
1.8836016700754719e+14 7.2423063287771938e-09 1.0731695408491986e-02
1.8837201430404428e+14 5.8028887532322215e-09 4.4491583793911188e-02
1.8838386309095484e+14 4.4085702039287037e-09 -3.1850264776625982e-02
1.8839571336856012e+14 3.4547889376901098e-09 -3.0880542629069169e-01
1.8840756513714144e+14 3.5079639007855056e-09 -7.2323154417287083e-01
1.8841941839698019e+14 4.5207467539307672e-09 -9.7773052969247998e-01
1.8843127314835788e+14 5.9161090070843295e-09 -1.0394450525815877e+00
1.8844312939155603e+14 7.3252120623287689e-09 -9.9851389628703269e-01
1.8845498712685628e+14 8.5696486912301655e-09 -9.0708540695855389e-01
1.8846684635454031e+14 9.5498957198696171e-09 -7.8954298652912935e-01
1.8847870707488988e+14 1.0204486193077785e-08 -6.5822237252906446e-01
1.8849056928818681e+14 1.0497155884081670e-08 -5.2034163436318959e-01
1.8850243299471300e+14 1.0412745471163563e-08 -3.8104785216395487e-01
1.8851429819475044e+14 9.9560304067249781e-09 -2.4508014494556454e-01
1.8852616488858116e+14 9.1519132367993037e-09 -1.1818148383064964e-01
1.8853803307648725e+14 8.0473175424676639e-09 -9.1435062394362582e-03
1.8854990275875097e+14 6.7175210489316984e-09 6.6000274899087219e-02
1.8856177393565450e+14 5.2863317676175318e-09 7.4110518735808456e-02
1.8857364660748016e+14 3.9893877513711153e-09 -5.4358853514755466e-02
1.8858552077451044e+14 3.3029594699326802e-09 -3.9816039381250540e-01
1.8859739643702772e+14 3.6996679026288479e-09 -7.8938614315535072e-01
1.8860927359531456e+14 4.8759539666591714e-09 -9.7485925527379547e-01
1.8862115224965362e+14 6.2881697021982078e-09 -9.9632826893258852e-01
1.8863303240032753e+14 7.6458607838525673e-09 -9.3558187621180489e-01
1.8864491404761906e+14 8.8038607104319147e-09 -8.3387801358876545e-01
1.8865679719181103e+14 9.6773557879124218e-09 -7.1073353203695089e-01
1.8866868183318634e+14 1.0213681509982663e-08 -5.7642915427857910e-01
1.8868056797202800e+14 1.0383453190175123e-08 -4.3733072905855902e-01
1.8869245560861897e+14 1.0177782378860889e-08 -2.9834293002731982e-01
1.8870434474324241e+14 9.6076450612432896e-09 -1.6441737701925194e-01
1.8871623537618147e+14 8.7045493621745521e-09 -4.2091919248213441e-02
1.8872812750771947e+14 7.5234772201324881e-09 5.7928775243076908e-02
1.8874002113813966e+14 6.1523622583840462e-09 1.1508860453031956e-01
1.8875191626772547e+14 4.7424871821418143e-09 8.5589847006803249e-02
1.8876381289676038e+14 3.5993115634563109e-09 -1.1602034692632338e-01
1.8877571102552788e+14 3.2783529420081491e-09 -5.1852331198908908e-01
1.8878761065431166e+14 4.0255596449279446e-09 -8.4900004978941512e-01
1.8879951178339534e+14 5.3331527415447513e-09 -9.6356581296487420e-01
1.8881141441306266e+14 6.7449606607180464e-09 -9.4773236975392172e-01
1.8882331854359750e+14 8.0392171290022590e-09 -8.6824623432511228e-01
1.8883522417528375e+14 9.0985112759972939e-09 -7.5649697957808737e-01
1.8884713130840531e+14 9.8514229727212882e-09 -6.2774821708110740e-01
1.8885903994324631e+14 1.0254147030242379e-08 -4.9046710772947633e-01
1.8887095008009081e+14 1.0284733530893692e-08 -3.5029119701584599e-01
1.8888286171922303e+14 9.9413781492225975e-09 -2.1200578108588097e-01
1.8889477486092716e+14 9.2423156756713913e-09 -8.0983751217243272e-02
1.8890668950548756e+14 8.2271585075735754e-09 3.4999952011589126e-02
1.8891860565318869e+14 6.9615900271604388e-09 1.2228264143003610e-01
1.8893052330431491e+14 5.5523920738438260e-09 1.5316496909142785e-01
1.8894244245915084e+14 4.1959896669530518e-09 6.7683412251870495e-02
1.8895436311798109e+14 3.3039013943274933e-09 -2.2834814196549816e-01
1.8896628528109028e+14 3.4399434936374689e-09 -6.4899241503185490e-01
1.8897820894876325e+14 4.4962734798257594e-09 -8.8933401099886100e-01
1.8899013412128478e+14 5.8929138286796539e-09 -9.3909613895754118e-01
1.8900206079893981e+14 7.2828529539629206e-09 -8.9077414851554781e-01
1.8901398898201328e+14 8.4982864416117555e-09 -7.9450786148712804e-01
1.8902591867079022e+14 9.4440493779727933e-09 -6.7349629257571308e-01
1.8903784986555578e+14 1.0060780202469296e-08 -5.3952096866888455e-01
1.8904978256659512e+14 1.0313577640260571e-08 -3.9956299561635722e-01
1.8906171677419356e+14 1.0188504627365327e-08 -2.5871911516488288e-01
1.8907365248863638e+14 9.6917210791664145e-09 -1.2184700298352522e-01
1.8908558971020897e+14 8.8499386329610382e-09 4.9351694559733724e-03
1.8909752843919688e+14 7.7128043821042302e-09 1.1191353626101307e-01
1.8910946867588559e+14 6.3606767921681384e-09 1.8074473501720409e-01
1.8912141042056075e+14 4.9298850663856943e-09 1.7224997743590420e-01
1.8913335367350806e+14 3.6930719637156469e-09 4.2227028744622934e-03
1.8914529843501325e+14 3.1938804719428925e-09 -3.8811889380446618e-01
1.8915724470536222e+14 3.8168424240395872e-09 -7.5921913866875657e-01
1.8916919248484084e+14 5.1052307699009373e-09 -9.0268813699047945e-01
1.8918114177373509e+14 6.5466047114733148e-09 -8.9860389888041770e-01
1.8919309257233103e+14 7.8907972484649017e-09 -8.2341161120719386e-01
1.8920504488091478e+14 9.0092635941399294e-09 -7.1281759785849663e-01
1.8921699869977256e+14 9.8244687682680362e-09 -5.8371584399497711e-01
1.8922895402919066e+14 1.0288048758073331e-08 -4.4520551023479349e-01
1.8924091086945534e+14 1.0374152392252517e-08 -3.0314762276805940e-01
1.8925286922085309e+14 1.0077504267850016e-08 -1.6233599205102792e-01
1.8926482908367038e+14 9.4132123283052664e-09 -2.7973521044037507e-02
1.8927679045819378e+14 8.4179338235731735e-09 9.2581727019052151e-02
1.8928875334470991e+14 7.1540350619540150e-09 1.8654477116992679e-01
1.8930071774350547e+14 5.7230619314440981e-09 2.2799086157292667e-01
1.8931268365486728e+14 4.3104872943375095e-09 1.5940996264254845e-01
1.8932465107908212e+14 3.3142473769845794e-09 -1.2131203198191802e-01
1.8933662001643697e+14 3.3517962251813134e-09 -5.6134403444371495e-01
1.8934859046721884e+14 4.3973330411633254e-09 -8.2763478515538369e-01
1.8936056243171472e+14 5.8331106569469495e-09 -8.8719383617410696e-01
1.8937253591021184e+14 7.2776387682396209e-09 -8.4120476957974633e-01
1.8938451090299738e+14 8.5509362634913144e-09 -7.4463066393166555e-01
1.8939648741035856e+14 9.5521699029380360e-09 -6.2227672679984281e-01
1.8940846543258288e+14 1.0218117922476855e-08 -4.8645880506400951e-01
1.8942044496995762e+14 1.0510777909344258e-08 -3.4432474741879082e-01
1.8943242602277041e+14 1.0413665718956256e-08 -2.0098373984914550e-01
1.8944440859130875e+14 9.9309265102087003e-09 -6.1209191715246754e-02
1.8945639267586031e+14 9.0877628966448187e-09 6.9069302839318253e-02
1.8946837827671288e+14 7.9326821241633951e-09 1.8048783025473247e-01
1.8948036539415412e+14 6.5448788100625937e-09 2.5531292554328361e-01
1.8949235402847200e+14 5.0587075145928005e-09 2.5510056211266280e-01
1.8950434417995447e+14 3.7453162080786550e-09 9.5370611772365457e-02
1.8951633584888947e+14 3.1739630800533045e-09 -3.0580773650361059e-01
1.8952832903556512e+14 3.7991978530147168e-09 -6.9879358996184038e-01
1.8954032374026959e+14 5.1444024573134112e-09 -8.4938399300019474e-01
1.8955231996329116e+14 6.6540172720987059e-09 -8.4489728797828789e-01
1.8956431770491806e+14 8.0639367399884982e-09 -7.6749413258738020e-01
1.8957631696543866e+14 9.2403953120561250e-09 -6.5433913778392827e-01
