

wavelength(nm), Y
1570.57, -30.6871
1570.56, -31.3643
1570.56, -32.0989
1570.56, -32.9015
1570.56, -33.7861
1570.56, -34.7711
1570.56, -35.8823
1570.56, -37.1569
1570.56, -38.6511
1570.55, -40.4567
1570.55, -42.7379
1570.55, -45.837
1570.55, -50.6803
1570.55, -61.8817
1570.55, -56.2421
1570.55, -48.6226
1570.55, -44.5944
1570.55, -41.8487
1570.54, -39.7644
1570.54, -38.0843
1570.54, -36.6769
1570.54, -35.466
1570.54, -34.4035
1570.54, -33.457
1570.54, -32.6035
1570.54, -31.8266
1570.53, -31.1135
1570.53, -30.4547
1570.53, -29.8424
1570.53, -29.2705
1570.53, -28.734
1570.53, -28.2288
1570.53, -27.7515
1570.53, -27.2992
1570.52, -26.8693
1570.52, -26.4599
1570.52, -26.0689
1570.52, -25.6949
1570.52, -25.3364
1570.52, -24.9922
1570.52, -24.6612
1570.52, -24.3425
1570.51, -24.0351
1570.51, -23.7384
1570.51, -23.4515
1570.51, -23.174
1570.51, -22.9051
1570.51, -22.6444
1570.51, -22.3913
1570.51, -22.1456
1570.51, -21.9067
1570.5, -21.6742
1570.5, -21.448
1570.5, -21.2276
1570.5, -21.0127
1570.5, -20.8031
1570.5, -20.5986
1570.5, -20.3989
1570.5, -20.2037
1570.49, -20.0129
1570.49, -19.8264
1570.49, -19.6438
1570.49, -19.4651
1570.49, -19.2902
1570.49, -19.1187
1570.49, -18.9507
1570.49, -18.786
1570.48, -18.6244
1570.48, -18.4659
1570.48, -18.3103
1570.48, -18.1576
1570.48, -18.0076
1570.48, -17.8603
1570.48, -17.7155
1570.48, -17.5732
1570.47, -17.4332
1570.47, -17.2956
1570.47, -17.1603
1570.47, -17.0271
1570.47, -16.896
1570.47, -16.767
1570.47, -16.6399
1570.47, -16.5148
1570.47, -16.3916
1570.46, -16.2702
1570.46, -16.1506
1570.46, -16.0327
1570.46, -15.9165
1570.46, -15.8019
1570.46, -15.6889
1570.46, -15.5774
1570.46, -15.4675
1570.45, -15.359
1570.45, -15.252
1570.45, -15.1464
1570.45, -15.0421
1570.45, -14.9392
1570.45, -14.8376
1570.45, -14.7373
1570.45, -14.6382
1570.44, -14.5404
1570.44, -14.4437
1570.44, -14.3482
1570.44, -14.2538
1570.44, -14.1606
1570.44, -14.0684
1570.44, -13.9773
1570.44, -13.8873
1570.43, -13.7982
1570.43, -13.7102
1570.43, -13.6232
1570.43, -13.5371
1570.43, -13.452
1570.43, -13.3678
1570.43, -13.2845
1570.43, -13.2021
1570.43, -13.1206
1570.42, -13.04
1570.42, -12.9601
1570.42, -12.8812
1570.42, -12.803
1570.42, -12.7256
1570.42, -12.649
1570.42, -12.5732
1570.42, -12.4981
1570.41, -12.4238
1570.41, -12.3502
1570.41, -12.2774
1570.41, -12.2052
1570.41, -12.1338
1570.41, -12.063
1570.41, -11.9929
1570.41, -11.9234
1570.4, -11.8547
1570.4, -11.7865
1570.4, -11.719
1570.4, -11.6521
1570.4, -11.5858
1570.4, -11.5202
1570.4, -11.4551
1570.4, -11.3906
1570.39, -11.3267
1570.39, -11.2633
1570.39, -11.2005
1570.39, -11.1383
1570.39, -11.0766
1570.39, -11.0155
1570.39, -10.9548
