.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.500844224874011e-06,-0.02537086343634878,0.01577294722353615,454.9747153800085,5.773096455363925e-12,173217268710.4293,2.858943203769816e-05,30.49408039971635,-30.49408039971635
1.50089115412028e-06,-0.02128225352218727,0.02117185902895541,454.7481369263327,5.774260027034669e-12,173182363682.6316,2.099914360083439e-05,30.45187525225579,-30.45187525225579
1.50093808630146e-06,-0.01605820859164802,0.02553479665668407,454.5215197987475,5.774968461822362e-12,173161118820.1083,9.190949164250804e-06,30.41010199453108,-30.41010199453108
1.500985021417828e-06,-0.009957092256111863,0.02862567503802711,454.294885743226,5.77513067417542e-12,173156255056.1302,-2.278394893797202e-06,30.3688634418578,-30.3688634418578
1.50103195946966e-06,-0.00328579608682353,0.03027248061161512,454.0682558843261,5.774756739542268e-12,173167467497.3866,-1.365436198714129e-05,30.32817425525309,-30.32817425525309
1.501078900457229e-06,0.003616233280024511,0.03037705637275245,453.8416511772445,5.773915213139124e-12,173192706003.7874,-2.220002344680144e-05,30.28797144383887,-30.28797144383887
1.501125844380812e-06,0.01039500665117309,0.02892079229182838,453.6150873659499,5.772770734288176e-12,173227042269.3839,-2.655924349129857e-05,30.24812572681336,-30.24812572681336
1.501172791240684e-06,0.01670065819761587,0.02596575729497725,453.3885724838426,5.771533089326445e-12,173264188998.4734,-2.616612528014136e-05,30.20846705122347,-30.20846705122347
1.501219741037121e-06,0.02220560092750586,0.02165146068506573,453.1621058097093,5.77041865345416e-12,173297651358.6934,-2.130753907496483e-05,30.16881605578549,-30.16881605578549
1.501266693770399e-06,0.02662119954156019,0.01618770136217795,452.9356783946385,5.769612413428246e-12,173321867803.9085,-1.303534335414847e-05,30.12901575135534,-30.12901575135534
1.501313649440792e-06,0.02971226068793541,0.009844115205510562,452.7092749986423,5.769237086760207e-12,173333143526.8789,-2.951397735429357e-06,30.08895792308324,-30.08895792308324
1.501360608048576e-06,0.03130887433430997,0.002937043375865806,452.4828770412659,5.769334309302101e-12,173330222585.2409,7.091859765377102e-06,30.04859992103371,-30.04859992103371
1.501407569594028e-06,0.03131527522880309,-0.004185715168271767,452.2564660147116,5.76986059091481e-12,173314412756.2795,1.532118321921337e-05,30.00796934054117,-30.00796934054117
1.501454534077422e-06,0.02971542602408501,-0.01116175050386418,452.0300267518692,5.770698142808651e-12,173289258119.6927,2.034611862184015e-05,29.96715626352431,-29.96715626352431
1.501501501499035e-06,0.02657500178356689,-0.01763194098220694,451.8035499896509,5.771677907217072e-12,173259841605.0853,2.137487088907916e-05,29.92629487127117,-29.92629487127117
1.501548471859142e-06,0.02203945876647711,-0.02325873305426749,451.5770338295267,5.772611577581283e-12,173231818313.1592,1.838094793542395e-05,29.88553728242223,-29.88553728242223
1.501595445158018e-06,0.01632795232362011,-0.02774393594679073,451.3504837877398,5.773324886085886e-12,173210415095.4798,1.199005929068335e-05,29.84502763982747,-29.84502763982747
1.501642421395941e-06,0.00972312931517256,-0.03084500714626728,451.1239116432538,5.773686887236986e-12,173199555072.9549,3.42230502300639e-06,29.804875354872,-29.804875354872
1.501689400573185e-06,0.002557116592501633,-0.03238872403994766,450.8973331896321,5.773631902003827e-12,173201204540.4098,-5.762851899693412e-06,29.76513664678282,-29.76513664678282
1.501736382690027e-06,-0.004805567760304348,-0.03228122775700522,450.6707653606886,5.77316874373327e-12,173215099781.2929,-1.395325635844211e-05,29.72580606098137,-29.72580606098137
1.501783367746742e-06,-0.01198712987353399,-0.0305136880090238,450.444223258267,5.772376808438785e-12,173238863848.6099,-1.975665415145794e-05,29.6868186283266,-29.6868186283266
1.501830355743606e-06,-0.01861640086958046,-0.02716321611838189,450.2177175847468,5.771390472077769e-12,173268470542.4182,-2.22257503513616e-05,29.64806209350802,-29.64806209350802
1.501877346680896e-06,-0.02434826328575476,-0.02238906893643112,449.9912528954099,5.770371001420246e-12,173299082460.0139,-2.11643795792168e-05,29.60939674310172,-29.60939674310172
1.501924340558888e-06,-0.02888149722432083,-0.01642456341998777,449.7648272355356,5.76948900135505e-12,173325575239.8757,-1.63725773797616e-05,29.57067447644475,-29.57067447644475
1.501971337377856e-06,-0.03197412065612634,-0.009565250187467973,449.5384317703989,5.768891052274443e-12,173343540541.5986,-9.074014960594907e-06,29.53177812598213,-29.53177812598213
1.502018337138078e-06,-0.03345571384545627,-0.002154292204036368,449.3120530408464,5.768669575696776e-12,173350195721.5523,-3.508412973705142e-07,29.4926237331558,-29.4926237331558
1.50206533983983e-06,-0.03323623164743515,0.005434413314625922,449.0856749584057,5.768858090072257e-12,173344530994.9503,8.371995547747266e-06,29.45318037415525,-29.45318037415525
1.502112345483387e-06,-0.03131109169420832,0.01281454082609594,448.8592814332115,5.769423946084366e-12,173327529636.4184,1.570386328630703e-05,29.41347427197078,-29.41347427197078
1.502159354069027e-06,-0.02776233627182598,0.01960641074200177,448.632858939289,5.770275148201359e-12,173301961226.5297,2.051073748409112e-05,29.37358362676857,-29.37358362676857
1.502206365597024e-06,-0.0227557116545674,0.02545611163430263,448.4063986070864,5.771276505926411e-12,173271892097.5489,2.208973119527583e-05,29.3336252608835,-29.3336252608835
1.502253380067656e-06,-0.01653358109752094,0.03005385530888157,448.1798975211202,5.772272182701399e-12,173242003902.1798,2.026650944502463e-05,29.29373546739451,-29.29373546739451
1.502300397481199e-06,-0.009403742523311906,0.03315063435306024,447.9533590427461,5.773110810090602e-12,173216838009.0917,1.54066976187728e-05,29.2540480924675,-29.2540480924675
1.502347417837929e-06,-0.001724470700247779,0.03457217518558219,447.7267921367049,5.773669078102965e-12,173200089314.5346,8.339324373002284e-06,29.21467387766919,-29.21467387766919
1.502394441138122e-06,0.00611357463978666,0.03422920622968829,447.5002098423968,5.773869451495606e-12,173194078667.8109,1.832333287672061e-07,29.1756854295893,-29.1756854295893
1.502441467382055e-06,0.01370761096350618,0.03212325775771344,447.2736272099534,5.773690125905743e-12,173199457919.1459,-7.809600748096237e-06,29.13710556616283,-29.13710556616283
1.502488496570005e-06,0.02066396517466983,0.02834747380461401,447.0470589901007,5.773166314130754e-12,173215172677.8318,-1.446621978135528e-05,29.09890596529109,-29.09890596529109
1.502535528702247e-06,0.02661894709355707,0.02308234070916659,446.8205174692769,5.772382743684542e-12,173238685721.9546,-1.885428594032663e-05,29.06101274341972,-29.06101274341972
1.502582563779058e-06,0.03125808577753428,0.01658662409749756,446.5940107483282,5.771459573583519e-12,173266396004.416,-2.040020347848239e-05,29.0233184097016,-29.0233184097016
1.502629601800715e-06,0.0343326295279526,0.009184148906287437,446.3675416829548,5.770534106836341e-12,173294184123.3209,-1.894957281480288e-05,28.98569814988498,-28.98569814988498
1.502676642767495e-06,0.03567247887971645,0.001247289165179472,446.1411075977098,5.769741027488618e-12,173318004263.2291,-1.476922506215344e-05,28.94802797239111,-28.94802797239111
1.502723686679673e-06,0.03519501556774964,-0.006821855072538552,445.9147007775512,5.769193791744514e-12,173334444308.4855,-8.495862304094246e-06,28.91020217691275,-28.91020217691275
1.502770733537527e-06,0.03290955529511801,-0.01461160746988781,445.6883096423674,5.76896948600575e-12,173341183798.2121,-1.039789594340979e-06,28.8721478268235,-28.8721478268235
1.502817783341334e-06,0.02891735662081362,-0.02172125795944592,445.4619204269528,5.769085050150258e-12,173337711492.7357,5.951988392203507e-06,28.83383436976183,-28.83383436976183
1.502864836091369e-06,0.02340724172632836,-0.02778104887610904,445.2355202216614,5.769529709315421e-12,173324352309.931,1.294824639639071e-05,28.79529508378266,-28.79529508378266
1.50291189178791e-06,0.01664714852073428,-0.03247119267767214,445.0090961069579,5.770254160603638e-12,173302591561.3027,1.784282611844048e-05,28.75656902291968,-28.75656902291968
1.502958950431234e-06,0.008971479156796226,-0.03553834445819089,444.782639042758,5.771151448316415e-12,173275646802.1168,2.029197100301688e-05,28.71774818378222,-28.71774818378222
1.503006012021617e-06,0.000765157778456622,-0.03680941225589825,444.5561445039959,5.775631108432769e-12,173141251791.5038,0.0001700777005557885,28.67894615852229,-28.67894615852229
1.503053076559336e-06,-0.007566743992964888,-0.03620625381341926,444.3293358515127,5.783789428751463e-12,172897027514.3416,0.0001766086113746528,28.63866783631332,-28.63866783631332
1.503100144044668e-06,-0.01560040393926758,-0.03373420564241292,444.1022010030483,5.788229883337461e-12,172764389140.5719,1.20811305572086e-05,28.59690221065127,-28.59690221065127
1.50314721447789e-06,-0.02290593026980335,-0.02949467460981691,443.8750438393467,5.788666415647089e-12,172751360710.1187,6.467092482941764e-06,28.55544898225734,-28.55544898225734
1.503194287859279e-06,-0.02909754356148695,-0.02368981049049804,443.6478747294336,5.788818974875778e-12,172746808000.0652,1.487162892117647e-08,28.51436161261134,-28.51436161261134
1.503241364189112e-06,-0.03384361309336949,-0.01660544292178322,443.4207055920475,5.7886659456186e-12,172751374737.1953,-6.515991977462848e-06,28.47365923026539,-28.47365923026539
1.503288443467666e-06,-0.03688476412137955,-0.00859681575439257,443.1935484927093,5.78822198804329e-12,172764624795.9557,-1.234382458574412e-05,28.4333242858913,-28.4333242858913
1.503335525695218e-06,-0.03804819513645102,-7.039089209065513e-05,442.9664141995474,5.787537097566022e-12,172785069562.7602,-1.67494135371483e-05,28.39330392966035,-28.39330392966035
